date,symbol,rank,final_score,confidence,edge_score,edge_signals,momentum_score,premover_score,entry_price,price_7d_later,return_pct_7d,would_have_won_7d,spy_return_7d,alpha_7d,price_14d_later,return_pct_14d,would_have_won_14d,spy_return_14d,alpha_14d,price_21d_later,return_pct_21d,would_have_won_21d,spy_return_21d,alpha_21d
2024-10-22,DDOG,1,5.4,4.3,0.0,,2.0,3.2,124.51,125.33,0.66,True,-2.17,2.83,122.48,-1.63,False,3.06,-4.69,135.45,8.79,True,1.62,7.17
2024-10-22,MSFT,2,5.0,4.5,0.0,,2.6,1.8,418.58,406.37,-2.92,False,-2.17,-0.75,418.19,-0.09,False,3.06,-3.15,415.52,-0.73,False,1.62,-2.35
2024-10-22,TSLA,3,5.0,4.7,0.0,,2.5,1.0,217.31,249.82,14.96,True,-2.17,17.13,350.31,61.2,True,3.06,58.14,342.07,57.41,True,1.62,55.79
2024-10-23,FCX,1,5.6,4.3,2.0,RS_LEADER,2.8,3.9,47.56,45.6,-4.12,False,-1.77,-2.35,43.6,-8.33,False,2.68,-11.01,43.73,-8.05,False,2.12,-10.17
2024-10-23,MSFT,2,5.1,3.8,2.0,VOLATILITY_EXPANSION,2.7,3.9,430.89,410.36,-4.76,False,-1.77,-2.99,423.22,-1.78,False,2.68,-4.46,412.8,-4.2,False,2.12,-6.32
2024-10-23,PYPL,3,5.5,4.3,0.0,,2.6,3.6,80.95,77.25,-4.57,False,-1.77,-2.8,86.39,6.72,True,2.68,4.04,84.82,4.78,True,2.12,2.66
2024-10-24,SBUX,1,5.9,3.9,4.0,"RS_LEADER,VOLATILITY_EXPANSION",3.2,5.9,97.65,97.05,-0.61,False,-1.77,1.16,99.82,2.22,True,2.97,-0.75,102.5,4.97,True,2.67,2.3
2024-10-24,AAPL,2,6.7,5.0,2.0,VOLATILITY_EXPANSION,2.9,5.1,229.97,222.07,-3.44,False,-1.77,-1.67,225.19,-2.08,False,2.97,-5.05,229.75,-0.1,False,2.67,-2.77
2024-10-24,MSFT,3,5.5,4.2,4.0,"RS_LEADER,VOLATILITY_EXPANSION",3.2,3.8,425.32,408.66,-3.92,False,-1.77,-2.15,425.14,-0.04,False,2.97,-3.01,416.76,-2.01,False,2.67,-4.68
2024-10-25,TSLA,1,5.2,3.4,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",3.4,5.8,255.91,251.44,-1.75,False,-0.84,-0.91,311.08,21.56,True,2.03,19.53,338.57,32.3,True,2.73,29.57
2024-10-25,SBUX,2,4.7,4.1,4.0,"RS_LEADER,VOLATILITY_EXPANSION",2.9,2.0,97.27,97.1,-0.17,False,-0.84,0.67,99.25,2.04,True,2.03,0.01,101.81,4.67,True,2.73,1.94
2024-10-25,MSFT,3,5.4,4.2,2.0,RS_LEADER,3.0,3.6,426.82,411.41,-3.61,False,-0.84,-2.77,426.7,-0.03,False,2.03,-2.06,418.79,-1.88,False,2.73,-4.61
2024-10-28,TSLA,1,4.4,3.4,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",3.5,3.7,269.96,288.56,6.89,True,1.44,5.45,320.95,18.89,True,0.54,18.35,338.19,25.27,True,3.11,22.16
2024-10-28,GOOGL,2,5.7,4.6,2.0,RS_LEADER,3.0,3.2,168.75,176.52,4.6,True,1.44,3.16,172.47,2.2,True,0.54,1.66,169.06,0.18,True,3.11,-2.93
2024-10-28,ON,3,3.9,3.3,5.0,"MOMENTUM_EXPANSION,RS_LEADER",3.2,2.4,67.36,72.25,7.26,True,1.44,5.82,64.75,-3.87,False,0.54,-4.41,70.85,5.18,True,3.11,2.07
2024-10-29,GOOGL,1,5.5,4.4,4.0,"RS_LEADER,VOLATILITY_EXPANSION",3.6,3.9,167.75,180.73,7.74,True,2.74,5.0,175.33,4.52,True,1.44,3.08,169.3,0.92,True,3.24,-2.32
2024-10-29,ON,2,4.2,3.3,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",3.8,3.7,72.19,72.04,-0.21,False,2.74,-2.95,66.49,-7.9,False,1.44,-9.34,70.27,-2.66,False,3.24,-5.9
2024-10-29,PYPL,3,5.0,3.8,5.0,"MOMENTUM_EXPANSION,RS_LEADER",4.6,4.1,78.03,81.34,4.24,True,2.74,1.5,84.64,8.47,True,1.44,7.03,86.55,10.92,True,3.24,7.68
2024-10-30,DDOG,1,5.8,4.4,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",7.0,3.7,129.66,124.43,-4.03,False,2.92,-6.95,133.39,2.88,True,1.53,1.35,152.75,17.81,True,3.65,14.16
2024-10-30,ON,2,4.6,3.6,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",5.6,3.7,73.25,70.42,-3.86,False,2.92,-6.78,66.66,-9.0,False,1.53,-10.53,71.11,-2.92,False,3.65,-6.57
2024-10-30,HOOD,3,5.2,3.9,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",7.0,3.7,27.91,30.53,9.39,True,2.92,6.47,35.23,26.23,True,1.53,24.7,37.52,34.43,True,3.65,30.78
2024-10-31,HOOD,1,6.5,4.1,8.0,"MOMENTUM_EXPANSION,BREAKOUT_STRUCTURE,RS_LEADER",7.3,6.6,25.98,32.8,26.25,True,4.05,22.2,36.06,38.8,True,2.6,36.2,37.64,44.88,True,4.89,39.99
2024-10-31,ABNB,2,7.0,4.6,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",6.5,6.6,137.74,137.44,-0.22,False,4.05,-4.27,135.27,-1.79,False,2.6,-4.39,137.48,-0.19,False,4.89,-5.08
2024-10-31,SNAP,3,6.1,3.6,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.7,7.3,12.53,11.96,-4.55,False,4.05,-8.6,10.6,-15.4,False,2.6,-18.0,12.12,-3.27,False,4.89,-8.16
2024-11-01,GOOGL,1,6.6,4.8,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.9,4.6,169.96,181.67,6.89,True,4.49,2.4,167.64,-1.37,False,3.92,-5.29,171.27,0.77,True,5.71,-4.94
2024-11-01,SBUX,2,6.9,4.6,4.0,"RS_LEADER,VOLATILITY_EXPANSION",5.7,6.6,97.66,98.78,1.15,True,4.49,-3.34,100.09,2.49,True,3.92,-1.43,101.55,3.98,True,5.71,-1.73
2024-11-01,DASH,3,6.9,5.2,4.0,"RS_LEADER,VOLATILITY_EXPANSION",7.8,4.4,155.65,176.49,13.39,True,4.49,8.9,173.16,11.25,True,3.92,7.33,176.08,13.13,True,5.71,7.42
2024-11-04,MRVL,1,6.6,4.5,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",7.9,5.2,83.6,90.08,7.75,True,4.56,3.19,92.5,10.65,True,4.26,6.39,118.16,41.34,True,6.38,34.96
2024-11-04,AMZN,2,6.7,4.6,5.0,"MOMENTUM_EXPANSION,RS_LEADER",7.2,5.8,196.56,214.08,8.91,True,4.56,4.35,197.07,0.26,True,4.26,-4.0,218.1,10.96,True,6.38,4.58
2024-11-04,DASH,3,7.0,5.3,4.0,"RS_LEADER,VOLATILITY_EXPANSION",7.3,4.5,154.84,175.73,13.49,True,4.56,8.93,177.16,14.41,True,4.26,10.15,176.73,14.14,True,6.38,7.76
2024-11-05,DASH,1,6.2,5.2,4.0,"RS_LEADER,VOLATILITY_EXPANSION",8.0,2.1,157.46,173.75,10.35,True,3.98,6.37,179.11,13.75,True,4.7,9.05,175.81,11.65,True,6.31,5.34
2024-11-05,AMZN,2,7.0,5.0,2.0,RS_LEADER,7.6,5.0,196.04,211.45,7.86,True,3.98,3.88,201.44,2.75,True,4.7,-1.95,220.57,12.51,True,6.31,6.2
2024-11-05,TWLO,3,4.8,4.0,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",8.5,2.1,87.53,97.13,10.97,True,3.98,6.99,105.35,20.36,True,4.7,15.66,110.31,26.03,True,6.31,19.72
2024-11-06,TWLO,1,4.8,4.0,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",8.6,1.9,90.01,96.54,7.25,True,-0.59,7.84,104.44,16.03,True,1.95,14.08,113.35,25.93,True,3.17,22.76
2024-11-06,AMZN,2,6.5,4.6,2.0,RS_LEADER,7.5,5.4,200.17,202.56,1.19,True,-0.59,1.78,207.82,3.82,True,1.95,1.87,227.0,13.4,True,3.17,10.23
2024-11-06,INTC,3,5.5,3.8,4.0,"RS_LEADER,VOLATILITY_EXPANSION",5.5,5.2,24.31,24.35,0.16,True,-0.59,0.75,24.06,-1.03,False,1.95,-2.98,20.92,-13.94,False,3.17,-17.11
2024-11-07,AMZN,1,7.1,4.4,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",7.1,7.4,207.4,201.7,-2.75,False,-0.84,-1.91,205.79,-0.78,False,0.92,-1.7,226.01,8.97,True,1.93,7.04
2024-11-07,SQ,2,6.5,3.8,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.7,7.5,77.63,90.85,17.03,True,-0.84,17.87,88.78,14.36,True,0.92,13.44,95.42,22.92,True,1.93,20.99
2024-11-07,NVDA,3,7.0,4.3,4.0,"RS_LEADER,VOLATILITY_EXPANSION",6.4,7.4,146.39,140.13,-4.28,False,-0.84,-3.44,135.37,-7.53,False,0.92,-8.45,138.81,-5.18,False,1.93,-7.11
2024-11-08,ABNB,1,6.5,4.0,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.5,7.4,134.43,131.44,-2.22,False,-1.02,-1.2,136.13,1.26,True,1.04,0.22,138.32,2.89,True,1.11,1.78
2024-11-08,INTC,2,5.5,3.8,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.6,4.9,25.98,24.2,-6.85,False,-1.02,-5.83,24.05,-7.43,False,1.04,-8.47,20.17,-22.36,False,1.11,-23.47
2024-11-08,NVDA,3,6.1,4.4,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",6.6,4.8,148.78,147.0,-1.2,False,-1.02,-0.18,138.28,-7.06,False,1.04,-8.1,134.99,-9.27,False,1.11,-10.38
2024-11-11,NVDA,1,6.4,4.4,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",6.6,5.3,148.68,145.89,-1.88,False,-1.57,-0.31,138.54,-6.82,False,0.63,-7.45,139.28,-6.32,False,1.28,-7.6
2024-11-11,TSLA,2,5.4,4.4,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",8.3,2.5,346.37,342.07,-1.24,False,-1.57,0.33,356.91,3.04,True,0.63,2.41,424.67,22.61,True,1.28,21.33
2024-11-11,DKNG,3,5.1,3.5,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",5.6,5.1,41.78,43.81,4.86,True,-1.57,6.43,43.91,5.1,True,0.63,4.47,41.64,-0.34,False,1.28,-1.62
2024-11-12,SQ,1,5.5,3.8,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.6,4.9,82.5,92.7,12.36,True,-0.83,13.19,93.2,12.97,True,0.87,12.1,94.09,14.05,True,0.96,13.09
2024-11-12,SHOP,2,5.4,3.7,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",5.9,5.3,107.0,106.47,-0.5,False,-0.83,0.33,111.91,4.59,True,0.87,3.72,115.33,7.79,True,0.96,6.83
2024-11-12,TSLA,3,5.3,4.4,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",8.3,2.1,342.64,339.69,-0.86,False,-0.83,-0.03,351.39,2.55,True,0.87,1.68,418.18,22.05,True,0.96,21.09
2024-11-13,SHOP,1,5.1,4.0,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",7.4,3.4,107.05,106.94,-0.1,False,-0.32,0.22,113.45,5.98,True,1.71,4.27,114.61,7.06,True,1.15,5.91
2024-11-13,MARA,2,4.7,3.3,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",7.5,4.9,24.34,26.02,6.9,True,-0.32,7.22,25.98,6.74,True,1.71,5.03,22.73,-6.61,False,1.15,-7.76
2024-11-13,SQ,3,4.6,3.8,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.8,2.2,86.48,92.28,6.71,True,-0.32,7.03,98.94,14.41,True,1.71,12.7,92.03,6.42,True,1.15,5.27
2024-11-14,CRWD,1,5.6,4.0,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.9,4.3,348.48,363.71,4.37,True,0.02,4.35,364.92,4.72,True,1.56,3.16,388.17,11.39,True,1.58,9.81
