date,symbol,rank,final_score,confidence,edge_score,edge_signals,momentum_score,premover_score,entry_price,price_7d_later,return_pct_7d,would_have_won_7d,price_14d_later,return_pct_14d,would_have_won_14d,price_21d_later,return_pct_21d,would_have_won_21d
2024-11-05,TWLO,1,4.8,4.0,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",8.6,1.9,88.69,97.13,9.52,True,105.35,18.78,True,110.31,24.38,True
2024-11-05,AMZN,2,6.5,4.6,2.0,RS_LEADER,7.5,5.4,199.5,211.45,5.99,True,201.44,0.97,True,220.57,10.56,True
2024-11-05,INTC,3,5.5,3.8,4.0,"RS_LEADER,VOLATILITY_EXPANSION",5.5,5.2,23.34,25.04,7.28,True,24.86,6.51,True,20.81,-10.84,False
2024-11-06,AMZN,1,7.1,4.4,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",7.1,7.4,207.06,202.56,-2.17,False,207.82,0.37,True,227.0,9.63,True
2024-11-06,SQ,2,6.5,3.8,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.7,7.5,77.61,84.33,8.66,True,89.0,14.68,True,98.27,26.62,True
2024-11-06,NVDA,3,7.0,4.3,4.0,"RS_LEADER,VOLATILITY_EXPANSION",6.4,7.4,145.5,141.91,-2.47,False,136.88,-5.92,False,142.47,-2.08,False
2024-11-07,ABNB,1,6.5,4.0,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.5,7.4,147.41,132.2,-10.32,False,138.3,-6.18,False,137.31,-6.85,False
2024-11-07,INTC,2,5.5,3.8,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.6,4.9,26.25,24.85,-5.33,False,23.64,-9.94,False,20.82,-20.69,False
2024-11-07,NVDA,3,6.1,4.4,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",6.6,4.8,148.89,140.13,-5.88,False,135.37,-9.08,False,138.81,-6.77,False
2024-11-08,NVDA,1,6.4,4.4,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",6.6,5.3,147.69,147.0,-0.47,False,138.28,-6.37,False,134.99,-8.6,False
2024-11-08,TSLA,2,5.4,4.4,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",8.3,2.5,321.18,345.88,7.69,True,345.13,7.46,True,401.0,24.85,True
2024-11-08,DKNG,3,5.1,3.5,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",5.6,5.1,40.11,43.21,7.73,True,43.66,8.85,True,41.66,3.86,True
2024-11-11,SQ,1,5.5,3.8,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.6,4.9,83.44,89.73,7.54,True,92.78,11.19,True,98.22,17.71,True
2024-11-11,SHOP,2,5.4,3.7,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",5.9,5.3,90.03,103.95,15.46,True,112.97,25.48,True,117.39,30.39,True
2024-11-11,TSLA,3,5.3,4.4,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",8.3,2.1,350.31,342.07,-2.35,False,356.91,1.88,True,424.67,21.23,True
2024-11-12,SHOP,1,5.1,4.0,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",7.4,3.4,108.31,106.47,-1.7,False,111.91,3.32,True,115.33,6.48,True
2024-11-12,MARA,2,4.7,3.3,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",7.5,4.9,25.22,24.19,-4.08,False,25.12,-0.4,False,22.6,-10.39,False
2024-11-12,SQ,3,4.6,3.8,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.8,2.2,87.18,92.7,6.33,True,93.2,6.91,True,94.09,7.93,True
2024-11-13,CRWD,1,5.6,4.0,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.9,4.3,347.94,372.27,6.99,True,364.13,4.65,True,368.01,5.77,True
2024-11-13,SQ,2,5.3,3.8,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.7,4.5,85.84,92.28,7.5,True,98.94,15.26,True,92.03,7.21,True
2024-11-13,SHOP,3,5.1,4.1,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",8.1,2.5,115.14,106.94,-7.12,False,113.45,-1.47,False,114.61,-0.46,False
2024-11-14,TSLA,1,5.8,4.2,4.0,"RS_LEADER,VOLATILITY_EXPANSION",8.1,4.3,311.08,338.57,8.84,True,369.4,18.75,True,463.11,48.87,True
2024-11-14,NVDA,2,5.9,4.2,3.0,BREAKOUT_STRUCTURE,5.6,5.0,146.83,135.98,-7.39,False,145.11,-1.17,False,132.0,-10.1,False
2024-11-14,SBUX,3,6.2,4.5,2.0,RS_LEADER,5.5,4.8,99.25,101.81,2.58,True,99.23,-0.02,False,93.12,-6.18,False
2024-11-15,AMZN,1,7.4,5.2,2.0,VOLATILITY_EXPANSION,6.4,6.0,202.56,207.82,2.6,True,227.0,12.07,True,231.24,14.16,True
2024-11-15,GOOGL,2,7.5,6.8,0.0,,6.0,5.0,172.47,169.06,-1.98,False,174.64,1.26,True,195.41,13.3,True
2024-11-15,NVDA,3,6.3,4.8,2.0,VOLATILITY_EXPANSION,4.6,4.2,141.91,136.88,-3.54,False,142.47,0.39,True,130.3,-8.18,False
2024-11-18,AFRM,1,4.8,3.4,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",8.1,4.5,62.07,68.4,10.2,True,68.83,10.89,True,63.33,2.03,True
2024-11-18,AMZN,2,7.4,7.2,0.0,,6.5,3.6,201.7,205.79,2.03,True,226.01,12.05,True,220.49,9.32,True
2024-11-18,HOOD,3,5.1,3.4,5.0,"MOMENTUM_EXPANSION,RS_LEADER",7.6,5.1,35.01,37.65,7.54,True,39.53,12.91,True,37.06,5.86,True
2024-11-19,NET,1,5.6,3.8,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.7,4.9,96.42,99.89,3.6,True,111.34,15.47,True,108.58,12.61,True
2024-11-19,AMZN,2,7.4,7.1,2.0,VOLATILITY_EXPANSION,6.3,3.8,204.59,207.95,1.64,True,225.14,10.04,True,223.29,9.14,True
2024-11-19,DDOG,3,5.5,3.9,4.0,"RS_LEADER,VOLATILITY_EXPANSION",6.3,4.8,133.39,152.75,14.51,True,154.9,16.13,True,146.84,10.08,True
2024-11-20,DASH,1,6.5,4.8,2.0,VOLATILITY_EXPANSION,6.3,4.5,172.34,176.41,2.36,True,176.38,2.34,True,170.97,-0.79,False
2024-11-20,AAPL,2,6.4,4.8,2.0,RS_LEADER,4.5,4.7,229.0,239.63,4.64,True,246.46,7.62,True,254.6,11.18,True
2024-11-20,AMZN,3,7.2,7.0,0.0,,5.6,3.9,202.89,210.67,3.83,True,230.16,13.44,True,225.16,10.98,True
2024-11-21,MRVL,1,7.5,4.5,2.0,RS_LEADER,6.3,8.3,92.98,95.93,3.17,True,108.99,17.22,True,113.11,21.65,True
2024-11-21,DDOG,2,5.7,3.9,5.0,"MOMENTUM_EXPANSION,RS_LEADER",6.8,5.2,143.89,155.07,7.77,True,156.72,8.92,True,148.61,3.28,True
2024-11-21,TWLO,3,5.6,4.1,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",7.8,4.0,102.05,107.3,5.14,True,114.93,12.62,True,107.28,5.12,True
2024-11-22,DDOG,1,4.9,4.0,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",7.1,2.6,154.77,165.88,7.18,True,153.0,-1.14,False,148.4,-4.12,False
2024-11-22,TWLO,2,5.4,4.0,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",7.6,3.5,104.37,109.95,5.35,True,112.99,8.26,True,111.41,6.75,True
2024-11-22,SBUX,3,5.6,3.9,4.0,"RS_LEADER,VOLATILITY_EXPANSION",5.1,5.0,102.5,100.69,-1.77,False,97.42,-4.96,False,89.9,-12.29,False
2024-11-25,EBAY,1,5.6,3.4,7.0,"BREAKOUT_STRUCTURE,RS_LEADER,VOLATILITY_EXPANSION",4.8,7.1,65.0,63.62,-2.12,False,63.63,-2.11,False,63.82,-1.82,False
2024-11-25,CRWD,2,5.1,4.2,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.8,2.4,363.71,364.92,0.33,True,388.17,6.73,True,365.01,0.36,True
2024-11-25,AAPL,3,6.2,4.4,3.0,BREAKOUT_STRUCTURE,4.2,5.4,232.89,243.07,4.37,True,251.03,7.79,True,259.15,11.28,True
2024-11-26,MRVL,1,6.5,4.4,4.0,"RS_LEADER,VOLATILITY_EXPANSION",5.8,5.9,93.14,113.39,21.74,True,112.24,20.51,True,113.69,22.06,True
2024-11-26,AAPL,2,6.4,4.2,3.0,BREAKOUT_STRUCTURE,4.8,6.3,234.98,242.69,3.28,True,253.5,7.88,True,255.63,8.79,True
2024-11-26,EBAY,3,5.2,3.5,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",5.4,5.3,65.08,63.59,-2.29,False,64.23,-1.31,False,62.81,-3.49,False
