date,symbol,rank,final_score,confidence,edge_score,edge_signals,momentum_score,premover_score,entry_price,price_7d_later,return_pct_7d,would_have_won_7d,spy_return_7d,alpha_7d,price_14d_later,return_pct_14d,would_have_won_14d,spy_return_14d,alpha_14d,price_21d_later,return_pct_21d,would_have_won_21d,spy_return_21d,alpha_21d
2024-06-05,SBUX,2,6.2,4.3,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",7.8,4.9,82.31,79.67,-3.21,False,2.26,-5.47,79.14,-3.85,False,2.79,-6.64,,,,,
2024-06-05,NKE,3,6.2,4.4,4.0,"RS_LEADER,VOLATILITY_EXPANSION",6.4,5.1,95.11,93.36,-1.84,False,2.26,-4.1,94.06,-1.1,False,2.79,-3.89,,,,,
2024-06-06,META,1,6.4,4.4,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.8,5.5,493.64,506.68,2.64,True,2.27,0.37,519.34,5.21,True,2.14,3.07,,,,,
2024-06-06,AAPL,2,6.8,4.6,3.0,BREAKOUT_STRUCTURE,7.1,6.2,195.72,216.67,10.7,True,2.27,8.43,214.11,9.4,True,2.14,7.26,,,,,
2024-06-06,AMAT,3,6.6,4.5,2.0,VOLATILITY_EXPANSION,7.0,5.6,221.88,242.95,9.5,True,2.27,7.23,232.54,4.8,True,2.14,2.66,,,,,
2024-06-07,PYPL,1,6.3,3.7,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.1,7.6,66.96,59.12,-11.71,False,2.85,-14.56,58.01,-13.37,False,2.03,-15.4,,,,,
2024-06-07,GOOGL,2,6.8,4.7,3.0,BREAKOUT_STRUCTURE,6.2,5.9,176.94,175.11,-1.03,False,2.85,-3.88,182.1,2.92,True,2.03,0.89,,,,,
2024-06-07,META,3,6.3,4.4,4.0,"RS_LEADER,VOLATILITY_EXPANSION",7.0,5.1,495.12,499.7,0.93,True,2.85,-1.92,504.47,1.89,True,2.03,-0.14,,,,,
2024-06-10,PINS,1,5.6,3.7,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.2,5.5,44.01,44.02,0.02,True,2.58,-2.56,,,,,,,,,,
2024-06-10,AAPL,2,6.9,4.8,3.0,BREAKOUT_STRUCTURE,6.8,5.7,196.91,209.55,6.42,True,2.58,3.84,,,,,,,,,,
2024-06-10,SHOP,3,5.8,3.8,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",5.5,6.1,61.3,63.89,4.23,True,2.58,1.65,,,,,,,,,,
2024-06-11,AMAT,1,7.3,4.6,4.0,"RS_LEADER,VOLATILITY_EXPANSION",8.8,6.7,227.44,235.39,3.5,True,1.87,1.63,,,,,,,,,,
2024-06-11,CRWD,2,6.2,4.2,5.0,"MOMENTUM_EXPANSION,RS_LEADER",8.9,4.8,373.38,380.75,1.97,True,1.87,0.1,,,,,,,,,,
2024-06-11,MU,3,6.3,4.4,4.0,"RS_LEADER,VOLATILITY_EXPANSION",8.5,4.4,134.99,139.44,3.3,True,1.87,1.43,,,,,,,,,,
2024-06-12,AAPL,1,7.9,4.9,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",8.8,7.6,207.38,208.29,0.44,True,0.2,0.24,,,,,,,,,,
2024-06-12,CRWD,2,6.5,4.4,5.0,"MOMENTUM_EXPANSION,RS_LEADER",9.5,5.0,390.42,378.2,-3.13,False,0.2,-3.33,,,,,,,,,,
2024-06-12,MSFT,3,6.2,4.6,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",6.5,4.1,435.16,447.7,2.88,True,0.2,2.68,,,,,,,,,,
2024-06-13,MSFT,1,7.1,4.5,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",7.2,6.6,440.81,451.12,2.34,True,0.3,2.04,,,,,,,,,,
2024-06-13,AAPL,2,6.2,5.0,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",9.1,2.5,214.72,209.17,-2.58,False,0.3,-2.88,,,,,,,,,,
2024-06-13,AMAT,3,6.9,4.6,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",8.8,5.5,232.16,234.37,0.95,True,0.3,0.65,,,,,,,,,,
2024-06-14,QCOM,1,7.3,4.7,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",8.8,6.2,217.29,197.32,-9.19,False,0.87,-10.06,,,,,,,,,,
2024-06-14,MSFT,2,7.1,4.5,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",7.5,6.5,438.27,452.26,3.19,True,0.87,2.32,,,,,,,,,,
2024-06-14,MU,3,6.5,4.5,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",9.0,4.8,141.68,142.48,0.56,True,0.87,-0.31,,,,,,,,,,
2024-06-17,QCOM,1,7.8,5.1,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",8.5,6.3,216.69,195.16,-9.94,False,0.79,-10.73,,,,,,,,,,
