date,symbol,rank,final_score,confidence,edge_score,edge_signals,momentum_score,premover_score,entry_price,price_7d_later,return_pct_7d,would_have_won_7d,spy_return_7d,alpha_7d,price_14d_later,return_pct_14d,would_have_won_14d,spy_return_14d,alpha_14d,price_21d_later,return_pct_21d,would_have_won_21d,spy_return_21d,alpha_21d
2024-07-23,ABNB,1,4.5,4.0,2.0,RS_LEADER,3.3,1.9,150.34,135.1,-10.14,False,-2.07,-8.07,113.6,-24.44,False,-3.86,-20.58,117.67,-21.73,False,1.07,-22.8
2024-07-23,AMZN,2,5.1,4.8,0.0,,2.2,1.0,184.15,183.45,-0.38,False,-2.07,1.69,166.84,-9.4,False,-3.86,-5.54,180.04,-2.23,False,1.07,-3.3
2024-07-23,AAPL,3,5.1,4.8,0.0,,2.3,1.0,224.37,218.51,-2.61,False,-2.07,-0.54,217.6,-3.02,False,-3.86,0.84,226.32,0.87,True,1.07,-0.2
2024-07-24,NKE,1,4.7,4.3,4.0,"RS_LEADER,VOLATILITY_EXPANSION",3.4,1.3,73.27,73.99,0.98,True,-2.89,3.87,78.48,7.11,True,-1.24,8.35,83.41,13.84,True,1.36,12.48
2024-07-24,PINS,2,5.0,4.6,2.0,RS_LEADER,3.3,1.2,39.75,29.09,-26.82,False,-2.89,-23.93,29.75,-25.16,False,-1.24,-23.92,32.03,-19.42,False,1.36,-20.78
2024-07-24,AAPL,3,5.7,4.8,0.0,,2.4,2.6,224.12,219.81,-1.92,False,-2.89,0.97,221.21,-1.3,False,-1.24,-0.06,224.7,0.26,True,1.36,-1.1
2024-07-25,AAPL,1,6.0,4.9,2.0,VOLATILITY_EXPANSION,2.7,3.1,218.88,209.23,-4.41,False,-4.42,0.01,221.63,1.26,True,0.45,0.81,226.8,3.62,True,3.84,-0.22
2024-07-25,META,2,5.4,4.4,2.0,RS_LEADER,3.5,3.0,462.93,475.97,2.82,True,-4.42,7.24,526.66,13.77,True,0.45,13.32,528.0,14.06,True,3.84,10.22
2024-07-25,MSFT,3,5.4,4.4,2.0,VOLATILITY_EXPANSION,2.9,3.0,428.92,395.39,-7.82,False,-4.42,-3.4,416.65,-2.86,False,0.45,-3.31,416.58,-2.88,False,3.84,-6.72
2024-07-26,NEM,1,5.7,4.2,2.0,VOLATILITY_EXPANSION,2.7,4.4,46.7,47.58,1.88,True,-3.74,5.62,49.33,5.63,True,1.95,3.68,52.28,11.95,True,3.39,8.56
2024-07-26,DASH,2,4.8,4.5,4.0,"RS_LEADER,VOLATILITY_EXPANSION",3.2,1.2,103.83,122.64,18.12,True,-3.74,21.86,130.28,25.47,True,1.95,23.52,128.52,23.78,True,3.39,20.39
2024-07-26,AMZN,3,5.3,5.0,2.0,VOLATILITY_EXPANSION,3.0,1.0,180.44,161.91,-10.27,False,-3.74,-6.53,177.59,-1.58,False,1.95,-3.53,175.51,-2.73,False,3.39,-6.12
2024-07-29,MSFT,1,5.2,4.9,2.0,VOLATILITY_EXPANSION,2.5,1.0,431.99,398.59,-7.73,False,-5.04,-2.69,418.5,-3.12,False,1.47,-4.59,413.79,-4.21,False,2.82,-7.03
2024-07-29,EBAY,2,5.4,4.2,0.0,,3.2,3.6,54.53,55.13,1.1,True,-5.04,6.14,55.49,1.76,True,1.47,0.29,59.35,8.84,True,2.82,6.02
2024-07-29,AAPL,3,5.2,4.9,0.0,,2.5,1.0,217.38,209.81,-3.48,False,-5.04,1.56,226.06,3.99,True,1.47,2.52,228.13,4.95,True,2.82,2.13
