date,symbol,rank,final_score,confidence,edge_score,edge_signals,momentum_score,premover_score,entry_price,price_7d_later,return_pct_7d,would_have_won_7d,price_14d_later,return_pct_14d,would_have_won_14d,price_21d_later,return_pct_21d,would_have_won_21d
2024-07-22,ABNB,1,4.5,4.0,2.0,RS_LEADER,3.3,1.9,150.15,139.51,-7.09,False,115.09,-23.35,False,117.4,-21.81,False
2024-07-22,AAPL,2,5.1,4.8,0.0,,2.3,1.0,224.16,222.18,-0.88,False,216.16,-3.57,False,226.53,1.06,True
2024-07-22,AMZN,3,5.1,4.8,0.0,,2.2,1.0,182.69,187.03,2.38,True,166.96,-8.61,False,178.9,-2.07,False
2024-07-23,NKE,1,4.7,4.3,4.0,"RS_LEADER,VOLATILITY_EXPANSION",3.4,1.3,73.39,73.85,0.63,True,74.64,1.7,True,83.97,14.42,True
2024-07-23,PINS,2,5.0,4.6,2.0,RS_LEADER,3.3,1.2,40.8,31.23,-23.46,False,29.01,-28.9,False,32.52,-20.29,False
2024-07-23,AAPL,3,5.7,4.8,0.0,,2.4,2.6,224.92,218.51,-2.85,False,217.6,-3.25,False,226.32,0.62,True
2024-07-24,AAPL,1,6.0,4.9,2.0,VOLATILITY_EXPANSION,2.7,3.1,218.59,219.81,0.56,True,221.21,1.2,True,224.7,2.8,True
2024-07-24,META,2,5.4,4.4,2.0,RS_LEADER,3.5,3.0,461.43,488.06,5.77,True,528.5,14.54,True,532.21,15.34,True
2024-07-24,MSFT,3,5.4,4.4,2.0,VOLATILITY_EXPANSION,2.9,3.0,428.97,408.52,-4.77,False,413.78,-3.54,False,415.74,-3.08,False
2024-07-25,NEM,1,5.7,4.2,2.0,VOLATILITY_EXPANSION,2.7,4.4,45.69,47.05,2.98,True,49.13,7.53,True,52.04,13.9,True
2024-07-25,DASH,2,4.8,4.5,4.0,"RS_LEADER,VOLATILITY_EXPANSION",3.2,1.2,100.81,121.34,20.37,True,126.94,25.92,True,128.76,27.73,True
2024-07-25,AMZN,3,5.3,5.0,2.0,VOLATILITY_EXPANSION,3.0,1.0,179.89,161.06,-10.47,False,170.03,-5.48,False,177.08,-1.56,False
2024-07-26,MSFT,1,5.2,4.9,2.0,VOLATILITY_EXPANSION,2.5,1.0,425.53,399.42,-6.14,False,420.87,-1.1,False,413.59,-2.81,False
2024-07-26,EBAY,2,5.4,4.2,0.0,,3.2,3.6,54.2,55.91,3.15,True,55.85,3.04,True,59.01,8.87,True
2024-07-26,AAPL,3,5.2,4.9,0.0,,2.5,1.0,218.03,207.14,-4.99,False,224.69,3.05,True,227.24,4.22,True
2024-07-29,EBAY,1,5.9,4.6,2.0,RS_LEADER,5.3,3.8,54.6,55.13,0.97,True,55.49,1.63,True,59.35,8.7,True
2024-07-29,ON,2,4.3,3.2,4.0,"RS_LEADER,VOLATILITY_EXPANSION",5.0,4.1,78.22,66.31,-15.23,False,75.85,-3.03,False,76.05,-2.77,False
2024-07-29,AMZN,3,4.6,4.5,2.0,RS_LEADER,2.9,1.2,183.21,162.75,-11.17,False,177.04,-3.37,False,173.11,-5.51,False
2024-07-30,PYPL,1,6.5,4.2,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",7.8,6.2,64.0,64.27,0.42,True,69.45,8.52,True,70.42,10.03,True
