date,symbol,rank,final_score,confidence,edge_score,edge_signals,momentum_score,premover_score,entry_price,price_7d_later,return_pct_7d,would_have_won_7d,spy_return_7d,alpha_7d,price_14d_later,return_pct_14d,would_have_won_14d,spy_return_14d,alpha_14d,price_21d_later,return_pct_21d,would_have_won_21d,spy_return_21d,alpha_21d
2024-01-23,TSLA,1,4.9,4.6,0.0,,1.7,1.0,209.13,188.81,-9.72,False,0.91,-10.63,188.16,-10.03,False,3.34,-13.37,197.34,-5.64,False,4.67,-10.31
2024-01-23,META,2,4.0,3.4,2.0,RS_LEADER,2.8,2.3,385.23,394.77,2.48,True,0.91,1.57,469.01,21.75,True,3.34,18.41,486.07,26.18,True,4.67,21.51
2024-01-23,AAPL,3,3.8,3.3,2.0,RS_LEADER,3.0,2.2,195.13,186.88,-4.23,False,0.91,-5.14,187.2,-4.06,False,3.34,-7.4,184.34,-5.53,False,4.67,-10.2
2024-01-24,FCX,1,4.8,3.5,5.0,"MOMENTUM_EXPANSION,VOLATILITY_EXPANSION",2.5,4.0,39.68,40.12,1.11,True,1.83,-0.72,36.67,-7.59,False,1.8,-9.39,38.97,-1.79,False,4.61,-6.4
2024-01-24,PINS,2,5.8,4.2,2.0,VOLATILITY_EXPANSION,2.0,4.8,36.55,39.78,8.84,True,1.83,7.01,35.72,-2.27,False,1.8,-4.07,35.84,-1.94,False,4.61,-6.55
2024-01-24,INTC,3,4.4,3.4,4.0,"RS_LEADER,VOLATILITY_EXPANSION",3.0,3.5,49.08,42.59,-13.22,False,1.83,-15.05,43.19,-12.0,False,1.8,-13.8,42.97,-12.45,False,4.61,-17.06
2024-01-25,AMAT,1,3.9,3.2,4.0,"RS_LEADER,VOLATILITY_EXPANSION",3.4,2.3,172.7,171.08,-0.94,False,0.93,-1.87,186.15,7.79,True,2.17,5.62,203.6,17.89,True,3.66,14.23
2024-01-25,GOOGL,2,3.7,3.4,4.0,"RS_LEADER,VOLATILITY_EXPANSION",3.0,1.2,151.92,143.59,-5.48,False,0.93,-6.41,145.86,-3.99,False,2.17,-6.16,137.53,-9.47,False,3.66,-13.13
2024-01-25,TSLA,3,4.5,4.3,2.0,VOLATILITY_EXPANSION,1.5,1.1,182.63,181.05,-0.87,False,0.93,-1.8,188.64,3.29,True,2.17,1.12,199.39,9.18,True,3.66,5.52
2024-01-26,ABNB,1,4.2,3.2,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",3.3,3.7,149.59,144.51,-3.4,False,1.34,-4.74,157.68,5.41,True,2.97,2.44,152.1,1.68,True,4.0,-2.32
2024-01-26,PINS,2,4.7,3.5,2.0,VOLATILITY_EXPANSION,2.7,3.8,37.69,41.06,8.94,True,1.34,7.6,36.58,-2.95,False,2.97,-5.92,36.06,-4.32,False,4.0,-8.32
2024-01-26,INTC,3,4.4,4.2,2.0,VOLATILITY_EXPANSION,1.5,1.1,43.62,42.77,-1.95,False,1.34,-3.29,44.06,1.01,True,2.97,-1.96,42.74,-2.02,False,4.0,-6.02
2024-01-29,SOFI,1,3.9,2.6,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",3.5,5.2,9.15,7.67,-16.17,False,1.38,-17.55,8.36,-8.63,False,1.69,-10.32,8.85,-3.28,False,3.03,-6.31
2024-01-29,PINS,2,4.1,3.0,4.0,"RS_LEADER,VOLATILITY_EXPANSION",3.1,3.9,39.19,40.82,4.16,True,1.38,2.78,35.26,-10.03,False,1.69,-11.72,36.12,-7.83,False,3.03,-10.86
2024-01-29,FCX,3,3.5,3.3,4.0,"RS_LEADER,VOLATILITY_EXPANSION",3.2,1.2,40.24,39.2,-2.58,False,1.38,-3.96,38.82,-3.53,False,1.69,-5.22,37.41,-7.03,False,3.03,-10.06
2024-01-30,MU,1,5.6,4.2,2.0,VOLATILITY_EXPANSION,3.5,4.4,86.12,84.91,-1.41,False,1.54,-2.95,80.72,-6.27,False,1.19,-7.46,90.52,5.11,True,3.51,1.6
2024-01-30,META,2,4.2,4.0,5.0,"MOMENTUM_EXPANSION,RS_LEADER",5.1,1.2,400.0,470.1,17.53,True,1.54,15.99,471.62,17.91,True,1.19,16.72,489.63,22.41,True,3.51,18.9
2024-01-30,DASH,3,5.2,3.7,2.0,VOLATILITY_EXPANSION,3.8,4.7,105.47,118.33,12.19,True,1.54,10.65,115.57,9.58,True,1.19,8.39,124.55,18.09,True,3.51,14.58
2024-01-31,MSFT,1,7.7,7.1,2.0,VOLATILITY_EXPANSION,6.8,4.7,397.56,420.42,5.75,True,3.76,1.99,402.17,1.16,True,2.96,-1.8,415.35,4.47,True,6.21,-1.74
2024-01-31,SBUX,2,6.8,6.6,2.0,VOLATILITY_EXPANSION,5.8,3.9,93.04,97.28,4.56,True,3.76,0.8,95.01,2.12,True,2.96,-0.84,93.15,0.12,True,6.21,-6.09
2024-01-31,QCOM,3,6.7,4.9,2.0,VOLATILITY_EXPANSION,6.2,4.6,148.54,151.0,1.66,True,3.76,-2.1,152.05,2.36,True,2.96,-0.6,163.04,9.76,True,6.21,3.55
2024-02-01,AMZN,1,7.1,5.2,2.0,VOLATILITY_EXPANSION,6.9,4.9,159.76,172.38,7.9,True,2.41,5.49,174.55,9.26,True,3.73,5.53,177.51,11.11,True,4.73,6.38
2024-02-01,MSFT,2,7.6,7.0,0.0,,6.9,4.6,403.8,415.26,2.84,True,2.41,0.43,411.35,1.87,True,3.73,-1.86,414.86,2.74,True,4.73,-1.99
2024-02-01,CLF,3,4.4,3.6,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.6,2.6,20.38,19.57,-3.97,False,2.41,-6.38,20.04,-1.67,False,3.73,-5.4,20.42,0.2,True,4.73,-4.53
2024-02-02,META,1,7.2,4.8,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",8.6,6.4,474.88,460.16,-3.1,False,-0.03,-3.07,484.1,1.94,True,2.74,-0.8,490.46,3.28,True,2.6,0.68
2024-02-02,AMZN,2,6.8,4.7,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",7.9,5.7,171.84,168.65,-1.86,False,-0.03,-1.83,174.9,1.78,True,2.74,-0.96,174.14,1.34,True,2.6,-1.26
2024-02-02,MSFT,3,7.3,5.4,2.0,VOLATILITY_EXPANSION,7.2,5.1,411.11,406.57,-1.1,False,-0.03,-1.07,410.36,-0.18,False,2.74,-2.92,402.71,-2.04,False,2.6,-4.64
2024-02-05,ON,1,5.4,3.6,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",5.6,5.5,77.58,81.69,5.3,True,1.23,4.07,77.58,0.0,False,2.7,-2.7,77.66,0.1,True,3.49,-3.39
2024-02-05,MSFT,2,7.8,7.2,0.0,,7.4,4.7,405.45,409.23,0.93,True,1.23,-0.3,407.54,0.52,True,2.7,-2.18,402.0,-0.85,False,3.49,-4.34
2024-02-05,AMZN,3,6.8,4.7,2.0,RS_LEADER,8.0,5.2,170.2,170.97,0.45,True,1.23,-0.78,174.73,2.66,True,2.7,-0.04,173.48,1.93,True,3.49,-1.56
2024-02-06,SBUX,1,7.2,4.6,2.0,VOLATILITY_EXPANSION,5.8,7.2,95.67,93.24,-2.54,False,1.62,-4.16,94.14,-1.6,False,2.62,-4.22,90.94,-4.94,False,4.28,-9.22
2024-02-06,MSFT,2,7.8,7.2,0.0,,7.0,4.8,405.54,406.65,0.27,True,1.62,-1.35,407.55,0.5,True,2.62,-2.12,409.02,0.86,True,4.28,-3.42
2024-02-06,DASH,3,6.0,4.1,4.0,"RS_LEADER,VOLATILITY_EXPANSION",7.8,5.2,112.38,126.26,12.35,True,1.62,10.73,123.76,10.13,True,2.62,7.51,133.16,18.49,True,4.28,14.21
2024-02-07,DASH,1,5.8,4.0,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",7.5,5.1,114.31,116.0,1.48,True,0.31,1.17,122.38,7.06,True,1.63,5.43,131.82,15.32,True,2.75,12.57
2024-02-07,NET,2,5.6,3.9,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.0,5.0,83.34,98.49,18.18,True,0.31,17.87,97.48,16.97,True,1.63,15.34,98.0,17.59,True,2.75,14.84
2024-02-07,RBLX,3,5.0,3.4,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.5,4.9,44.75,42.92,-4.09,False,0.31,-4.4,40.16,-10.26,False,1.63,-11.89,39.95,-10.73,False,2.75,-13.48
2024-02-08,SHOP,1,5.6,3.9,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",7.1,4.8,87.91,78.59,-10.6,False,-0.35,-10.25,76.4,-13.09,False,1.94,-15.03,75.01,-14.67,False,2.57,-17.24
2024-02-08,NET,2,5.6,3.7,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",7.3,5.4,90.42,98.17,8.57,True,-0.35,8.92,98.58,9.02,True,1.94,7.08,97.04,7.32,True,2.57,4.75
