date,symbol,rank,final_score,confidence,edge_score,edge_signals,momentum_score,premover_score,entry_price,price_7d_later,return_pct_7d,would_have_won_7d,price_14d_later,return_pct_14d,would_have_won_14d,price_21d_later,return_pct_21d,would_have_won_21d
2024-01-23,TSLA,1,4.9,4.6,0.0,,1.7,1.0,209.13,188.81,-9.72,False,188.16,-10.03,False,197.34,-5.64,False
2024-01-23,META,2,4.0,3.4,2.0,RS_LEADER,2.8,2.3,385.23,394.77,2.48,True,469.01,21.75,True,486.07,26.18,True
2024-01-23,AAPL,3,3.8,3.3,2.0,RS_LEADER,3.0,2.2,195.13,186.88,-4.23,False,187.2,-4.06,False,184.34,-5.53,False
2024-01-24,FCX,1,4.8,3.5,5.0,"MOMENTUM_EXPANSION,VOLATILITY_EXPANSION",2.5,4.0,39.68,40.12,1.11,True,36.67,-7.59,False,38.97,-1.79,False
2024-01-24,PINS,2,5.8,4.2,2.0,VOLATILITY_EXPANSION,2.0,4.8,36.55,39.78,8.84,True,35.72,-2.27,False,35.84,-1.94,False
2024-01-24,INTC,3,4.4,3.4,4.0,"RS_LEADER,VOLATILITY_EXPANSION",3.0,3.5,49.08,42.59,-13.22,False,43.19,-12.0,False,42.97,-12.45,False
2024-01-25,AMAT,1,3.9,3.2,4.0,"RS_LEADER,VOLATILITY_EXPANSION",3.4,2.3,172.7,171.08,-0.94,False,186.15,7.79,True,203.6,17.89,True
2024-01-25,GOOGL,2,3.7,3.4,4.0,"RS_LEADER,VOLATILITY_EXPANSION",3.0,1.2,151.92,143.59,-5.48,False,145.86,-3.99,False,137.53,-9.47,False
2024-01-25,TSLA,3,4.5,4.3,2.0,VOLATILITY_EXPANSION,1.5,1.1,182.63,181.05,-0.87,False,188.64,3.29,True,199.39,9.18,True
2024-01-26,ABNB,1,4.2,3.2,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",3.3,3.7,149.59,144.51,-3.4,False,157.68,5.41,True,152.1,1.68,True
2024-01-26,PINS,2,4.7,3.5,2.0,VOLATILITY_EXPANSION,2.7,3.8,37.69,41.06,8.94,True,36.58,-2.95,False,36.06,-4.32,False
2024-01-26,INTC,3,4.4,4.2,2.0,VOLATILITY_EXPANSION,1.5,1.1,43.62,42.77,-1.95,False,44.06,1.01,True,42.74,-2.02,False
2024-01-29,SOFI,1,3.9,2.6,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",3.5,5.2,9.15,7.67,-16.17,False,8.36,-8.63,False,8.85,-3.28,False
2024-01-29,PINS,2,4.1,3.0,4.0,"RS_LEADER,VOLATILITY_EXPANSION",3.1,3.9,39.19,40.82,4.16,True,35.26,-10.03,False,36.12,-7.83,False
2024-01-29,FCX,3,3.5,3.3,4.0,"RS_LEADER,VOLATILITY_EXPANSION",3.2,1.2,40.24,39.2,-2.58,False,38.82,-3.53,False,37.41,-7.03,False
2024-01-30,MU,1,5.6,4.2,2.0,VOLATILITY_EXPANSION,3.5,4.4,86.12,84.91,-1.41,False,80.72,-6.27,False,90.52,5.11,True
2024-01-30,META,2,4.2,4.0,5.0,"MOMENTUM_EXPANSION,RS_LEADER",5.1,1.2,400.0,470.1,17.53,True,471.62,17.91,True,489.63,22.41,True
2024-01-30,DASH,3,5.2,3.7,2.0,VOLATILITY_EXPANSION,3.8,4.7,105.47,118.33,12.19,True,115.57,9.58,True,124.55,18.09,True
2024-01-31,MSFT,1,7.7,7.1,2.0,VOLATILITY_EXPANSION,6.8,4.7,397.56,420.42,5.75,True,402.17,1.16,True,415.35,4.47,True
2024-01-31,SBUX,2,6.8,6.6,2.0,VOLATILITY_EXPANSION,5.8,3.9,93.04,97.28,4.56,True,95.01,2.12,True,93.15,0.12,True
2024-01-31,QCOM,3,6.7,4.9,2.0,VOLATILITY_EXPANSION,6.2,4.6,148.54,151.0,1.66,True,152.05,2.36,True,163.04,9.76,True
2024-02-01,AMZN,1,7.1,5.2,2.0,VOLATILITY_EXPANSION,6.9,4.9,159.76,172.38,7.9,True,174.55,9.26,True,177.51,11.11,True
2024-02-01,MSFT,2,7.6,7.0,0.0,,6.9,4.6,403.8,415.26,2.84,True,411.35,1.87,True,414.86,2.74,True
